Codigo,Estacion,Municipio,Departamento,Latitud,Longitud,Elevacion,Entidad,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,Promedio_Anual,Anos_Info,Fecha_Inicio,Fecha_Final,Annual_Average
21255170,Murillo,Murillo,Tolima,4.87,-75.17,3023,IDEAM (aut.),3.6928,3.8807,3.9444,4.0516,4.6401,5.2604,5.402,5.188,4.9145,3.8462,3.4555,3.6034,"4,3233",10,Nov 05,Sep 16,4.3233
26115090,Las Brisas,Ansermanuevo,Valle del Cauca,4.78,-76.14,1971,IDEAM (aut.),4.3358,4.2804,4.3248,4.4015,4.3689,4.975,5.2942,5.1744,5.2345,4.6166,4.1122,4.3539,"4,6227",4,Jun 05,Jun 16,4.6227
26085170,Base aerea Marco Fidel Suarez,Cali,Valle del Cauca,3.45,-76.5,975,IDEAM (aut.),4.5135,4.8234,4.7045,4.8397,4.4773,4.6274,5.1976,5.595,5.2752,4.512,4.224,4.4772,"4,7722",3,Dez 16,Mai 20,4.7722
26085160,Siloe,Cali,Valle del Cauca,3.43,-76.56,1238,IDEAM (aut.),4.1224,4.4813,4.5339,4.3704,4.1314,4.2609,4.738,4.7389,4.9617,4.3206,3.7515,4.0639,"4,3729",5,Jul 07,Okt 16,4.3729
26055120,Univalle,Cali,Valle del Cauca,3.38,-76.53,996,IDEAM (aut.),4.5683,4.5642,4.5258,4.4361,4.3128,4.4881,4.7625,4.8295,4.7944,4.4735,4.1334,4.2344,"4,5102",9,Nov 06,Okt 16,4.5103
26105250,Zaragoza,Cartago,Valle del Cauca,4.69,-75.93,943,IDEAM (aut.),5.038,5.0505,5.4506,5.2719,5.1164,5.197,5.4572,5.3822,5.7011,5.0595,4.9384,4.8173,"5,2067",4,Jun 05,Jul 16,5.2067
26075120,La Diana,Florida,Valle del Cauca,3.31,-76.19,1615,IDEAM (aut.),3.7838,3.9616,3.6688,3.5634,3.3822,3.4763,3.6003,3.7584,3.8134,3.5433,3.3017,3.4475,"3,6084",6,Nov 16,Okt 22,3.6084
26095320,El Vinculo,Guadalajara de Buga,Valle del Cauca,3.83,-76.3,981,IDEAM (aut.),4.3009,3.992,4.4487,4.4985,4.1386,4.2197,4.341,4.3797,4.5887,4.2224,4.1963,4.2976,"4,302",6,Jun 05,Okt 16,4.302
26055110,La independencia,Jamundí,Valle del Cauca,3.19,-76.57,997,IDEAM (aut.),5.0629,5.3734,5.1215,4.9715,4.7195,4.6691,5.0153,5.3183,5.537,5.2184,4.8906,4.8685,"5,0638",6,Nov 16,Okt 22,5.0638
26075150,Apto. A. Bonilla Aragón,Palmira,Valle del Cauca,3.53,-76.38,961,IDEAM (aut.),5.0197,5.21,5.076,4.599,4.7511,4.7072,5.0325,4.729,5.2803,4.9426,4.7364,4.8528,"4,9114",8,Sep 14,Okt 22,4.9114
26075050,Ing. Manuelita,Palmira,Valle del Cauca,3.57,-76.28,1020,IDEAM (conv.),4.6584,4.6287,4.6752,4.5296,4.3709,4.2416,4.5536,4.7012,4.6069,4.5522,4.3678,4.4074,"4,5245",19,Jul 74,Jun 05,4.5245
34015010,Las Gaviotas,Cumaribo,Vichada,4.55,-70.93,171,IDEAM (conv.),5.16,5.0156,4.7083,4.254,4.0163,3.8498,4.0072,4.2389,4.5635,4.5024,4.3989,4.8398,"4,4629",12,Jan 89,Apr 01,4.4629
